Paper,Link,ExtractDatetime
metro,https://metro.co.uk/2020/04/01/doctor-disappears-raising-alarm-coronavirus-wuhan-12490856/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/facts-coronavirus-testing-gets-one-can-get-one-work-12491220/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/fears-midlands-become-major-uk-coronavirus-hotspot-12494427/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/long-coronavirus-live-surfaces-12491296/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/nhs-says-1700000-people-coronavirus-past-15-days-12492463/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/piers-morgan-reckons-not-getting-truth-government-slams-lack-coronavirus-testing-12490538/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/scientists-may-found-coronavirus-sub-type-left-patient-infectious-49-days-12495201/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/trump-says-uks-response-coronavirus-catastrophic-12494530/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/uk-coronavirus-death-toll-rockets-563-patients-die-12492374/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/uk-overreacted-coronavirus-outbreak-lockdown-less-dramatic-claims-ex-nhs-consultant-12491808/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/uks-coronavirus-death-rate-graphs-really-look-like-true-scale-12490953/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/us-accuses-china-lying-number-dead-coronavirus-12494284/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/01/woman-90-dies-refusing-ventilator-saying-good-life-keep-younger-12490521/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/01/woman-turned-away-ae-wiped-sanitary-towel-door-shouted-coronavirus-12494162/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/1000000-coronavirus-cases-recorded-worldwide-12497014/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/cam-girls-seeing-lonely-customers-coronavirus-lockdown-12479717/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/cats-highly-susceptible-coronavirus-2-12500312/,2020-04-06 14:22:25.846154
metro,https://metro.co.uk/2020/04/02/city-china-bans-eating-dogs-cats-12496302/,2020-04-06 14:22:26.843166
metro,https://metro.co.uk/2020/04/02/coronavirus-cases-top-1000000-just-days-says-12495606/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/coronavirus-uk-people-think-5g-responsible-covid-19-pandemic-12500019/,2020-04-06 14:22:25.830533
metro,https://metro.co.uk/2020/04/02/dogs-trained-smell-coronavirus-need-1000000-help-fight-disease-12497693/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/dynamo-tests-positive-coronavirus-experiencing-severe-symptoms-reveals-high-risk-12497263/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/healthy-mum-two-48-dies-days-showing-coronavirus-symptoms-12500207/,2020-04-06 14:22:25.830533
metro,https://metro.co.uk/2020/04/02/holly-willoughby-fumes-boris-johnson-lack-coronavirus-tests-12497201/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/kind-restaurant-owner-opens-doors-just-elderly-dementia-sufferer-eat-husband-12501412/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/linda-lusardi-recalls-horrific-coronavirus-symptoms-left-feeling-like-elephant-sitting-turned-vomit-blue-12501633/,2020-04-06 14:22:27.749206
metro,https://metro.co.uk/2020/04/02/man-coronavirus-spits-passenger-collapsing-dead-train-12497286/,2020-04-06 14:22:25.846154
